package,current_version,latest_version,type,license,size_kb,last_updated,vulnerabilities,notes
express,4.18.2,4.19.2,production,MIT,210,2024-03-15,0,core framework
react,18.2.0,18.3.1,production,MIT,315,2024-04-20,0,frontend library
react-dom,18.2.0,18.3.1,production,MIT,1420,2024-04-20,0,react rendering
typescript,5.3.3,5.4.5,dev,Apache-2.0,42800,2024-05-01,0,type system
eslint,8.56.0,9.2.0,dev,MIT,3200,2024-04-28,0,major version bump available
prettier,3.2.4,3.2.5,dev,MIT,8500,2024-03-10,0,code formatter
jest,29.7.0,29.7.0,dev,MIT,4100,2023-09-15,0,up to date
@types/node,20.11.5,20.12.7,dev,MIT,1890,2024-04-22,0,node type definitions
@types/react,18.2.48,18.3.3,dev,MIT,420,2024-04-25,0,react type definitions
axios,1.6.5,1.6.8,production,MIT,156,2024-03-20,0,http client
lodash,4.17.21,4.17.21,production,MIT,1410,2021-02-20,0,utility library - consider removing
date-fns,3.3.0,3.6.0,production,MIT,780,2024-04-15,0,date utility
zod,3.22.4,3.23.6,production,MIT,67,2024-04-10,0,schema validation
prisma,5.8.1,5.13.0,production,Apache-2.0,18200,2024-04-30,0,orm
@prisma/client,5.8.1,5.13.0,production,Apache-2.0,4300,2024-04-30,0,prisma runtime
next,14.1.0,14.2.3,production,MIT,21400,2024-04-25,1,low severity xss in image component
tailwindcss,3.4.1,3.4.3,dev,MIT,5600,2024-03-28,0,css framework
postcss,8.4.33,8.4.38,dev,MIT,230,2024-03-15,0,css processor
autoprefixer,10.4.17,10.4.19,dev,MIT,145,2024-03-20,0,css prefixer
@tanstack/react-query,5.17.19,5.32.1,production,MIT,890,2024-04-28,0,data fetching
react-hook-form,7.49.3,7.51.4,production,MIT,110,2024-04-10,0,form management
@radix-ui/react-dialog,1.0.5,1.0.5,production,MIT,45,2023-11-01,0,ui primitive
@radix-ui/react-dropdown-menu,2.0.6,2.0.6,production,MIT,52,2023-11-01,0,ui primitive
@radix-ui/react-tooltip,1.0.7,1.0.7,production,MIT,38,2023-11-01,0,ui primitive
@radix-ui/react-popover,1.0.7,1.0.7,production,MIT,48,2023-11-01,0,ui primitive
@radix-ui/react-select,2.0.0,2.0.0,production,MIT,62,2023-11-01,0,ui primitive
@radix-ui/react-tabs,1.0.4,1.0.4,production,MIT,32,2023-11-01,0,ui primitive
@radix-ui/react-accordion,1.1.2,1.1.2,production,MIT,41,2023-11-01,0,ui primitive
lucide-react,0.312.0,0.372.0,production,ISC,2200,2024-04-25,0,icon library
class-variance-authority,0.7.0,0.7.0,production,Apache-2.0,12,2023-08-15,0,variant utility
clsx,2.1.0,2.1.1,production,MIT,4,2024-01-20,0,classname utility
tailwind-merge,2.2.1,2.3.0,production,MIT,28,2024-03-10,0,tw class merging
cmdk,0.2.1,1.0.0,production,MIT,34,2024-02-15,0,command palette - major version available
sonner,1.4.0,1.4.41,production,MIT,22,2024-04-20,0,toast notifications
next-themes,0.2.1,0.3.0,production,MIT,8,2024-01-10,0,theme management
sharp,0.33.2,0.33.3,production,Apache-2.0,8900,2024-03-05,0,image processing
bcryptjs,2.4.3,2.4.3,production,MIT,120,2022-03-20,0,password hashing
jsonwebtoken,9.0.2,9.0.2,production,MIT,85,2023-07-15,0,jwt implementation
cookie,0.6.0,0.6.0,production,MIT,12,2023-11-05,0,cookie parsing
uuid,9.0.0,9.0.1,production,MIT,18,2024-02-10,0,id generation
nanoid,5.0.4,5.0.7,production,MIT,6,2024-03-25,0,compact id generation
winston,3.11.0,3.13.0,production,MIT,290,2024-04-15,0,logging
helmet,7.1.0,7.1.0,production,MIT,45,2023-11-20,0,security headers
cors,2.8.5,2.8.5,production,MIT,12,2018-11-04,0,very old but stable
compression,1.7.4,1.7.4,production,MIT,28,2019-03-18,0,response compression
morgan,1.10.0,1.10.0,production,MIT,22,2020-03-20,0,http logger
dotenv,16.4.1,16.4.5,production,BSD-2-Clause,14,2024-03-15,0,env loader
ioredis,5.3.2,5.4.1,production,MIT,430,2024-04-10,0,redis client
bullmq,5.1.12,5.7.4,production,MIT,680,2024-04-25,0,job queue
nodemailer,6.9.8,6.9.13,production,MIT,560,2024-04-20,0,email sending
@aws-sdk/client-s3,3.496.0,3.569.0,production,Apache-2.0,12400,2024-04-30,0,s3 client
@aws-sdk/s3-request-presigner,3.496.0,3.569.0,production,Apache-2.0,890,2024-04-30,0,presigned urls
@sentry/nextjs,7.100.1,7.112.2,production,MIT,3400,2024-04-28,0,error tracking
vitest,1.2.2,1.5.2,dev,MIT,5600,2024-04-20,0,test runner
@testing-library/react,14.1.2,15.0.6,dev,MIT,210,2024-04-15,0,major version available
@testing-library/jest-dom,6.3.0,6.4.5,dev,MIT,95,2024-04-10,0,dom matchers
@testing-library/user-event,14.5.2,14.5.2,dev,MIT,120,2023-12-01,0,user interaction testing
msw,2.1.5,2.2.14,dev,MIT,890,2024-04-20,0,api mocking
cypress,13.6.3,13.8.1,dev,MIT,45000,2024-04-15,0,e2e testing
@playwright/test,1.41.2,1.44.0,dev,Apache-2.0,8900,2024-04-25,0,e2e testing - consider replacing cypress
husky,9.0.7,9.0.11,dev,MIT,8,2024-03-10,0,git hooks
lint-staged,15.2.0,15.2.2,dev,MIT,34,2024-03-05,0,staged file linting
commitlint,18.6.0,19.3.0,dev,MIT,67,2024-04-15,0,commit message linting
@commitlint/config-conventional,18.6.0,19.2.2,dev,MIT,12,2024-04-15,0,conventional commits
concurrently,8.2.2,8.2.2,dev,MIT,45,2023-11-15,0,parallel scripts
cross-env,7.0.3,7.0.3,dev,MIT,8,2021-02-02,0,cross platform env
rimraf,5.0.5,5.0.5,dev,ISC,18,2023-11-10,0,cross platform rm
